Q,ID,TOOL,expected,predicted,ID/OOD DAIV,loss daiv,loss selforacle,ass 1,ass 2,ID/OOD Human,misclass human 1,misclass human 2,misclass Humans,ID/OOD Selforacle 9999,tool_y,ID/OOD DeepSVDD,svdd scores,tool_y.1,ID/OOD LLM,ID/OOD LLM2,ID/OOD Selforacle 999,ID/OOD LLM3
0,dj_0_e5_p8,dj,5,8,id,1879.1916503906305,0.22058639,Digit 5,Not a digit,?,1,0,,id,mnist_dj,id,0.0601773113012313,mnist_dj,id,id,id,ood
0,dj_1_e5_p3,dj,5,3,id,1949.8173828125,0.17912069,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0952664539217948,mnist_dj,ood,ood,id,id
45,dj_10_e5_p6,dj,5,6,id,1602.07958984375,0.24528861,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0855334997177124,mnist_dj,id,id,id,id
45,dj_11_e5_p3,dj,5,3,id,1975.365234375,0.2164699,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0565307140350341,mnist_dj,id,id,id,id
46,dj_12_e5_p3,dj,5,3,ood,371.412231445313,0.23378688,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0023971796035766,mnist_dj,id,id,id,id
46,dj_13_e5_p8,dj,5,8,ood,256.212493896484,0.2431199,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0488643944263458,mnist_dj,id,id,id,id
47,dj_14_e5_p6,dj,5,6,id,2016.99499511719,0.1634862999999999,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.130330353975296,mnist_dj,id,id,id,id
47,dj_15_e5_p8,dj,5,8,id,1484.28503417969,0.28060624,Digit 6,Digit 6,id,0,0,no,id,mnist_dj,id,-0.0529808700084686,mnist_dj,id,id,id,id
48,dj_16_e5_p9,dj,5,9,id,2048.4404296875,0.1621372999999999,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0075417608022689,mnist_dj,ood,id,id,id
48,dj_17_e5_p2,dj,5,2,id,1351.26501464844,0.25256428,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0746378302574157,mnist_dj,id,id,id,id
49,dj_18_e5_p3,dj,5,3,id,1678.1389160156302,0.25557998,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0107899606227874,mnist_dj,id,id,id,id
49,dj_19_e5_p7,dj,5,7,id,2310.46435546875,0.1234176,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,ood,1.5450391769409182,mnist_dj,id,id,id,id
1,dj_2_e5_p4,dj,5,4,id,2219.01391601563,0.1488184,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0059621930122375,mnist_dj,id,id,id,id
2,dj_20_e5_p3,dj,5,3,id,1525.08386230469,0.21040757,Digit 3,Digit 3,id,0,0,no,id,mnist_dj,id,0.0814285576343536,mnist_dj,id,id,id,id
2,dj_21_e5_p7,dj,5,7,id,1893.40234375,0.16008765,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0513365864753723,mnist_dj,id,id,id,id
3,dj_22_e5_p6,dj,5,6,id,1689.50549316406,0.24214914,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.1581613719463348,mnist_dj,id,id,id,id
3,dj_23_e5_p3,dj,5,3,id,1721.67199707031,0.21948427,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.1014772653579711,mnist_dj,id,id,id,id
4,dj_24_e5_p3,dj,5,3,id,2031.52282714844,0.22817521,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0889207795262336,mnist_dj,id,id,id,id
4,dj_25_e5_p3,dj,5,3,id,1686.41149902344,0.16565192,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0509036034345626,mnist_dj,ood,id,id,id
5,dj_26_e5_p3,dj,5,3,id,1715.71154785156,0.18891753,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0572374314069747,mnist_dj,id,id,id,id
5,dj_27_e5_p0,dj,5,0,id,1686.7666015625,0.21720299,Digit 5,Digit 0,id,1,0,,id,mnist_dj,id,-0.0241810232400894,mnist_dj,ood,id,id,id
6,dj_28_e5_p6,dj,5,6,id,1716.22900390625,0.22177266,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.117809385061264,mnist_dj,id,id,id,id
6,dj_29_e5_p3,dj,5,3,id,1903.5949707031305,0.17901993,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0584574192762374,mnist_dj,id,id,id,id
1,dj_3_e5_p3,dj,5,3,id,1729.03063964844,0.27033123,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.01028273999691,mnist_dj,id,id,id,id
7,dj_30_e5_p3,dj,5,3,id,1940.68493652344,0.16402711,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0165337324142456,mnist_dj,id,id,id,id
7,dj_31_e5_p8,dj,5,8,ood,352.406860351563,0.26240876,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0876189768314361,mnist_dj,id,id,id,id
8,dj_32_e5_p3,dj,5,3,id,1851.39807128906,0.21216197,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0559252798557281,mnist_dj,id,ood,id,id
8,dj_33_e5_p3,dj,5,3,id,2253.86572265625,0.14835912,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0238052010536193,mnist_dj,id,id,id,id
9,dj_34_e5_p3,dj,5,3,id,1623.47131347656,0.24307004,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0254853963851928,mnist_dj,id,id,id,id
9,dj_35_e5_p6,dj,5,6,id,1829.16345214844,0.15061593,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,ood,0.2480826079845428,mnist_dj,id,id,id,id
10,dj_36_e5_p6,dj,5,6,id,2011.15393066406,0.14133808,Digit 1,Digit 5,id,0,1,,id,mnist_dj,ood,0.2330101430416107,mnist_dj,ood,id,id,id
10,dj_37_e5_p3,dj,5,3,id,1537.2673339843802,0.2927132999999999,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0211008340120315,mnist_dj,ood,id,id,id
11,dj_38_e5_p3,dj,5,3,id,1721.44909667969,0.21687049,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.1237106919288635,mnist_dj,id,id,id,id
11,dj_39_e5_p6,dj,5,6,id,1540.70654296875,0.21920724,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,ood,0.1954123079776764,mnist_dj,id,id,id,id
12,dj_4_e5_p3,dj,5,3,id,1591.03942871094,0.23681131,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0773931965231895,mnist_dj,ood,id,id,id
13,dj_40_e5_p8,dj,5,8,id,1816.97131347656,0.23194376,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0391265153884887,mnist_dj,id,id,id,id
13,dj_41_e5_p3,dj,5,3,id,1628.57971191406,0.2902577,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0035125315189361,mnist_dj,id,id,id,id
14,dj_42_e5_p6,dj,5,6,id,1473.5427246093802,0.11169886,Digit 6,Digit 6,id,0,0,no,id,mnist_dj,ood,0.2622775137424469,mnist_dj,id,id,id,id
14,dj_43_e5_p3,dj,5,3,id,1565.91833496094,0.28067464,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0203711986541748,mnist_dj,id,id,id,id
15,dj_44_e5_p3,dj,5,3,id,1857.5568847656305,0.17735244,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0725537538528442,mnist_dj,id,id,id,id
15,dj_45_e5_p6,dj,5,6,id,1991.92065429688,0.13297506,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0073837637901306,mnist_dj,id,id,id,ood
16,dj_46_e5_p9,dj,5,9,id,1467.74084472656,0.1531549999999999,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0367683321237564,mnist_dj,ood,id,id,id
16,dj_47_e5_p6,dj,5,6,id,1498.83935546875,0.2815455,Not a digit,Digit 5,?,0,1,,id,mnist_dj,id,0.0924690365791319,mnist_dj,id,id,id,id
17,dj_48_e5_p6,dj,5,6,id,1703.48583984375,0.23514321,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0983903706073761,mnist_dj,id,id,id,id
17,dj_49_e5_p7,dj,5,7,id,1940.90686035156,0.15771937,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0627669841051101,mnist_dj,id,id,id,id
12,dj_5_e5_p4,dj,5,4,id,1933.2004394531305,0.2107352,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0421632528305053,mnist_dj,id,id,id,ood
18,dj_50_e5_p7,dj,5,7,id,1954.49975585938,0.1371283999999999,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0607266724109649,mnist_dj,id,id,id,id
18,dj_51_e5_p6,dj,5,6,id,1483.65270996094,0.3167699,Not a digit,Digit 5,?,0,1,,id,mnist_dj,id,0.0721590220928192,mnist_dj,id,id,id,ood
19,dj_52_e5_p7,dj,5,7,id,2258.33837890625,0.1117817,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,ood,1.5618480443954468,mnist_dj,id,id,id,id
19,dj_53_e5_p0,dj,5,0,id,1638.42224121094,0.2446025,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.1164856553077697,mnist_dj,id,id,id,id
20,dj_54_e5_p6,dj,5,6,id,2013.89013671875,0.14287148,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.012325644493103,mnist_dj,id,id,id,id
20,dj_55_e5_p3,dj,5,3,id,1759.59423828125,0.19624127,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0539299696683883,mnist_dj,id,id,id,id
21,dj_56_e5_p2,dj,5,2,id,1352.54797363281,0.28434792,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0790294110774993,mnist_dj,id,id,id,id
21,dj_57_e5_p3,dj,5,3,id,1614.77294921875,0.23543233,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0101365447044372,mnist_dj,id,id,id,id
22,dj_58_e5_p6,dj,5,6,id,1766.12927246094,0.2031404,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0170419216156005,mnist_dj,id,id,id,id
22,dj_59_e5_p3,dj,5,3,id,1754.30700683594,0.20415956,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0672644674777984,mnist_dj,id,id,id,id
23,dj_6_e5_p3,dj,5,3,id,1976.49584960938,0.16064765,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0447489023208618,mnist_dj,id,ood,id,id
24,dj_60_e5_p4,dj,5,4,id,1581.52404785156,0.20984654,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0187504291534423,mnist_dj,id,id,id,id
24,dj_61_e5_p8,dj,5,8,id,1740.12390136719,0.24302125,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0596840530633926,mnist_dj,id,id,id,id
25,dj_62_e5_p3,dj,5,3,id,1911.59167480469,0.21867186,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0694932863116264,mnist_dj,id,id,id,id
25,dj_63_e5_p6,dj,5,6,id,2005.54821777344,0.11244672,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.1425987780094146,mnist_dj,id,id,id,id
26,dj_64_e5_p3,dj,5,3,id,1026.77673339844,0.16873622,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0485688149929046,mnist_dj,id,id,id,id
26,dj_65_e5_p0,dj,5,0,id,1617.37976074219,0.19291057,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,ood,0.4406343400478363,mnist_dj,id,id,id,id
27,dj_66_e5_p8,dj,5,8,id,1434.15563964844,0.19858328,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.1592878401279449,mnist_dj,id,ood,id,id
27,dj_67_e5_p8,dj,5,8,ood,-7197.7861328125,0.19053906,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.05168167501688,mnist_dj,id,id,id,id
28,dj_68_e5_p3,dj,5,3,id,1817.30932617188,0.20702691,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0722887590527534,mnist_dj,id,ood,id,id
28,dj_69_e5_p0,dj,5,0,id,1806.44409179688,0.16331159,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,ood,0.6903432607650757,mnist_dj,id,id,id,id
23,dj_7_e5_p8,dj,5,8,id,2372.31640625,0.1295575,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.1736450493335724,mnist_dj,id,id,id,id
29,dj_70_e5_p3,dj,5,3,id,1567.48083496094,0.2082574999999999,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0582175552845001,mnist_dj,id,id,id,id
29,dj_71_e5_p8,dj,5,8,id,2357.96850585938,0.13513446,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,ood,0.1845861971378326,mnist_dj,id,id,id,id
30,dj_72_e5_p6,dj,5,6,id,1537.37292480469,0.22083354,Not a digit,Digit 5,?,0,1,,id,mnist_dj,ood,0.194711834192276,mnist_dj,id,id,id,id
30,dj_73_e5_p9,dj,5,9,id,2101.09765625,0.21136971,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.062622383236885,mnist_dj,ood,id,id,id
31,dj_74_e5_p3,dj,5,3,id,1991.5979003906305,0.18001148,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0952003747224807,mnist_dj,ood,ood,id,ood
31,dj_75_e5_p4,dj,5,4,id,1415.17858886719,0.21461771,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0199406743049621,mnist_dj,id,id,id,id
32,dj_76_e5_p3,dj,5,3,id,1813.1591796875,0.20698012,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0777897834777832,mnist_dj,id,ood,id,ood
32,dj_77_e5_p3,dj,5,3,id,989.67919921875,0.24773711,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.1201831400394439,mnist_dj,id,id,id,id
33,dj_78_e5_p3,dj,5,3,id,1834.47766113281,0.17874052,Digit 3,Digit 5,id,0,1,,id,mnist_dj,id,0.0355114638805389,mnist_dj,id,id,id,id
33,dj_79_e5_p3,dj,5,3,id,1618.2685546875,0.23122048,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0273710042238235,mnist_dj,id,id,id,id
34,dj_8_e5_p6,dj,5,6,id,1996.01904296875,0.17593016,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0118115842342376,mnist_dj,ood,id,id,id
35,dj_80_e5_p3,dj,5,3,id,1766.54821777344,0.19240734,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0469104051589965,mnist_dj,id,id,id,id
35,dj_81_e5_p3,dj,5,3,id,2081.27294921875,0.17179084,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0263760089874267,mnist_dj,id,id,id,id
36,dj_82_e5_p6,dj,5,6,id,1638.2673339843802,0.19660182,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0826636403799057,mnist_dj,id,id,id,id
36,dj_83_e5_p8,dj,5,8,id,1760.46643066406,0.23664422,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0081394463777542,mnist_dj,id,ood,id,id
37,dj_84_e5_p3,dj,5,3,id,2016.5302734375,0.14940418,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0651178359985351,mnist_dj,id,id,id,id
37,dj_85_e5_p6,dj,5,6,id,1930.54968261719,0.19036266,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0159714818000793,mnist_dj,id,id,id,id
38,dj_86_e5_p3,dj,5,3,id,1601.75830078125,0.27096096,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0596471279859542,mnist_dj,id,id,id,id
38,dj_87_e5_p4,dj,5,4,id,1905.19189453125,0.22864416,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0404780358076095,mnist_dj,id,id,id,id
39,dj_88_e5_p8,dj,5,8,id,1603.12145996094,0.2757658,Digit 6,Digit 5,id,0,1,,id,mnist_dj,id,-0.0599831268191337,mnist_dj,id,id,id,id
39,dj_89_e5_p4,dj,5,4,id,1998.72058105469,0.22257207,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0563572645187377,mnist_dj,ood,id,id,ood
34,dj_9_e5_p3,dj,5,3,id,1706.95397949219,0.26983693,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0588359683752059,mnist_dj,id,id,id,id
40,dj_90_e5_p4,dj,5,4,id,2276.55322265625,0.14823982,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0063083469867706,mnist_dj,id,id,id,id
40,dj_91_e5_p3,dj,5,3,id,1243.08703613281,0.19500849,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0245021581649779,mnist_dj,ood,id,id,ood
41,dj_92_e5_p3,dj,5,3,id,1780.39050292969,0.2099663999999999,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.05018812417984,mnist_dj,id,id,id,id
41,dj_93_e5_p3,dj,5,3,id,2054.58911132813,0.16873956,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.055008478462696,mnist_dj,ood,id,id,id
42,dj_94_e5_p8,dj,5,8,id,1761.38232421875,0.2310806,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-9.298324584960938e-05,mnist_dj,id,ood,id,id
42,dj_95_e5_p3,dj,5,3,id,2011.73864746094,0.21159597,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0806693136692047,mnist_dj,id,id,id,id
43,dj_96_e5_p6,dj,5,6,id,2009.46496582031,0.13950402,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.002056747674942,mnist_dj,id,id,id,id
43,dj_97_e5_p2,dj,5,2,id,1005.32043457031,0.25850108,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0629997253417968,mnist_dj,id,id,id,id
44,dj_98_e5_p3,dj,5,3,id,1851.43395996094,0.22213566,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,0.0111385136842727,mnist_dj,id,id,id,id
44,dj_99_e5_p3,dj,5,3,id,1560.42736816406,0.3093188,Digit 5,Digit 5,id,1,1,yes,id,mnist_dj,id,-0.0136871039867401,mnist_dj,ood,id,id,id
0,dlf_0_e5_p3,dlf,5,3,ood,319.47064208984403,0.36586395,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.13650444149971,mnist_dlf,ood,id,id,ood
1,dlf_1_e5_p8,dlf,5,8,ood,407.83251953125,0.30967513,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.1010458171367645,mnist_dlf,id,id,id,ood
2,dlf_10_e5_p3,dlf,5,3,ood,105.644668579102,0.3288512,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0953251421451568,mnist_dlf,id,id,id,ood
3,dlf_11_e5_p3,dlf,5,3,ood,380.64718627929705,0.32057133,Digit 5,Digit 5,id,1,1,yes,id,mnist_dlf,id,0.0142470896244049,mnist_dlf,id,id,id,id
