Q,ID,TOOL,expected,predicted,ID/OOD DAIV,loss daiv,loss selforacle,ass 1,ass 2,ID/OOD Human,misclass human 1,misclass human 2,misclass humans,ID/OOD Selforacle 9999,tool_y,ID/OOD DeepSVDD,svdd scores,ID/OOD LLM,ID/OOD LLM2,ID_cleaned,ID/OOD Selforacle 99
0,dj_0_e5_p2,dj,5,2,ood,1765.86779785156,15.52844,Digit 5,Digit 5,id,1,1,yes,ood,svhn_dj,id,0.0079241599887609,ood,id,dj_0,ood
0,dj_1_e5_p6,dj,5,6,ood,1823.86633300781,13.958854,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0138994622975587,ood,id,dj_1,ood
45,dj_10_e5_p6,dj,5,6,ood,1847.31860351563,15.195863,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0141518134623765,ood,id,dj_10,ood
45,dj_11_e5_p6,dj,5,6,ood,2435.56323242188,13.036874,Digit 5,Digit 1,id,1,0,,ood,svhn_dj,id,-0.008453769609332,ood,id,dj_11,ood
46,dj_12_e5_p3,dj,5,3,ood,407.262786865234,18.85763,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood,svhn_dj,id,-0.0134373418986797,ood,id,dj_12,ood
46,dj_13_e5_p6,dj,5,6,ood,2047.43139648438,11.281995,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0145339332520961,ood,id,dj_13,ood
47,dj_14_e5_p6,dj,5,6,ood,1727.75756835938,12.936196,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.013458963483572,ood,id,dj_14,ood
47,dj_15_e5_p6,dj,5,6,ood,1744.9091796875,13.588558,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0138719622045755,ood,id,dj_15,ood
48,dj_16_e5_p6,dj,5,6,ood,1661.94946289063,15.395616,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0142280980944633,ood,id,dj_16,ood
48,dj_17_e5_p6,dj,5,6,ood,1510.7939453125,14.242718,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0138101037591695,ood,id,dj_17,ood
49,dj_18_e5_p6,dj,5,6,ood,2126.4599609375,11.762032,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0146749019622802,ood,id,dj_18,ood
49,dj_19_e5_p6,dj,5,6,ood,1940.10607910156,13.03276,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0141592510044574,ood,id,dj_19,ood
1,dj_2_e5_p6,dj,5,6,ood,2060.97778320313,12.6753645,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0147976037114858,ood,id,dj_2,ood
2,dj_20_e5_p3,dj,5,3,ood,1237.57385253906,17.923069,Not a Street View House Number,Digit 0,?,0,0,no,ood,svhn_dj,id,-0.0121263284236192,ood,id,dj_20,ood
2,dj_21_e5_p6,dj,5,6,ood,1695.52844238281,14.630748,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0138128884136676,ood,id,dj_21,ood
3,dj_22_e5_p1,dj,5,1,ood,2945.41357421875,11.427228,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood,svhn_dj,id,-0.0150433648377656,ood,id,dj_22,ood
3,dj_23_e5_p9,dj,5,9,ood,1322.18493652344,11.662969,Not a Street View House Number,Not a Street View House Number,ood,0,0,no,ood,svhn_dj,id,-0.0034963842481374,ood,id,dj_23,ood
4,dj_24_e5_p6,dj,5,6,ood,2027.51647949219,12.142115,Digit 6,Digit 6,id,0,0,no,ood,svhn_dj,id,-0.0149955358356237,ood,ood,dj_24,ood
