Image_Name,assessment-1,assessment-2,assessment-3,assessment-4,assessment-5
sv_41.png,ood,ood,ood,ood,ood
ox_64.png,id,id,id,id,id
dx_30.png,id,id,id,id,id
ox_66.png,id,id,id,id,id
dx_22.png,id,id,id,id,id
dlf_101.png,id,id,id,id,id
sv_25.png,ood,ood,ood,ood,ood
ox_88.png,id,id,id,id,id
sv_118.png,id,id,id,id,id
sv_80.png,ood,ood,ood,ood,ood
sv_45.png,id,id,id,id,id
dx_112.png,id,id,id,id,id
sv_29.png,id,id,id,id,id
ox_70.png,id,id,id,id,id
dlf_113.png,id,id,id,id,id
dlf_0.png,id,id,id,id,id
sv_26.png,ood,ood,ood,ood,ood
dlf_79.png,id,id,id,id,id
sv_68.png,id,id,id,id,id
dx_11.png,id,id,id,id,id
dlf_108.png,id,id,id,id,id
ox_80.png,id,id,id,id,id
sv_87.png,ood,ood,ood,ood,ood
dx_81.png,id,id,id,id,id
dlf_55.png,id,id,id,id,id
dx_28.png,id,id,id,id,id
dx_82.png,id,id,id,id,id
sv_89.png,ood,ood,ood,ood,ood
ox_72.png,id,id,id,id,id
ox_73.png,id,id,id,id,id
dx_38.png,id,id,id,id,id
ox_114.png,id,id,id,id,id
sv_59.png,ood,ood,ood,ood,ood
sv_49.png,ood,ood,ood,ood,ood
dx_16.png,id,id,id,id,id
dx_13.png,id,id,id,id,id
dx_26.png,id,id,id,id,id
ox_57.png,id,id,id,id,id
dlf_92.png,id,id,id,id,id
dx_66.png,id,id,id,id,id
dx_36.png,id,id,id,id,id
ox_0.png,id,id,id,id,id
dlf_28.png,id,id,id,id,id
ox_42.png,id,id,id,id,id
sv_95.png,ood,ood,ood,ood,ood
dlf_74.png,id,id,id,id,id
sv_81.png,id,id,id,id,id
dx_40.png,id,id,id,id,id
dlf_99.png,id,id,id,id,id
dlf_33.png,id,id,id,id,id
dlf_104.png,id,id,id,id,id
sv_116.png,ood,id,ood,ood,ood
sv_0.png,ood,ood,ood,ood,ood
dx_0.png,id,id,id,id,id
sv_2.png,id,id,id,id,id
sv_14.png,ood,ood,ood,ood,ood
dlf_110.png,id,id,id,id,id
sv_93.png,ood,ood,ood,ood,ood
sv_22.png,ood,ood,ood,ood,ood
dx_14.png,id,id,id,id,id
dx_5.png,id,id,id,id,id
dlf_100.png,id,id,id,id,id
ox_62.png,id,id,id,id,id
ox_31.png,id,id,id,id,id
dx_95.png,ood,ood,ood,ood,ood
sv_91.png,id,id,id,id,id
dx_61.png,id,id,id,id,id
sv_67.png,ood,ood,ood,ood,ood
dlf_71.png,id,id,id,id,id
dx_1.png,id,id,id,id,id
dlf_88.png,id,id,id,id,id
dx_63.png,id,id,id,id,id
ox_91.png,id,id,id,id,id
dx_114.png,id,id,id,id,id
ox_75.png,id,id,id,id,id
dx_71.png,id,id,id,id,id
sv_20.png,ood,ood,ood,ood,ood
sv_54.png,ood,ood,ood,ood,ood
