Dataset,validator_Model,Mode,AUG,Acc_Ours(AVG),Acc_DAIV(AVG),Acc_SO(AVG)[0.9999],Acc_SO[0.99999],Acc_DeepSVDD,ACC_LLM1(GPT-4o),ACC_LLM2,ACC_LLM3(GPT-5.1),Best_validator,Acc_SO[0.99]
mnist,lenet1_transfer,remove,-1,0.972,0.677,0.834,0.84,0.826,0.777,0.667,0.782,Acc_Ours - 0.972,0.715
mnist,lenet1_transfer,remove,100,0.968,0.677,0.834,0.84,0.826,0.777,0.667,0.782,Acc_Ours - 0.968,0.715
mnist,lenet1_transfer,remove,250,0.978,0.677,0.834,0.84,0.826,0.777,0.667,0.782,Acc_Ours - 0.978,0.715
mnist,lenet1_transfer,remove,400,0.976,0.677,0.834,0.84,0.826,0.777,0.667,0.782,Acc_Ours - 0.976,0.715
mnist,vgg16_transfer,remove,-1,0.98,0.677,0.834,0.84,0.826,0.777,0.667,0.782,Acc_Ours - 0.98,0.715
mnist,vgg16_transfer,remove,100,0.981,0.677,0.834,0.84,0.826,0.777,0.667,0.782,Acc_Ours - 0.981,0.715
mnist,vgg16_transfer,remove,250,0.986,0.677,0.834,0.84,0.826,0.777,0.667,0.782,Acc_Ours - 0.986,0.715
mnist,vgg16_transfer,remove,400,0.986,0.677,0.834,0.84,0.826,0.777,0.667,0.782,Acc_Ours - 0.986,0.715
svhn,svhn_transfer,remove,-1,0.769,0.701,0.759,0.764,0.792,0.682,0.61,0.752,Acc_DeepSVDD - 0.792,0.759
svhn,svhn_transfer,remove,100,0.766,0.701,0.759,0.764,0.792,0.682,0.61,0.752,Acc_DeepSVDD - 0.792,0.759
svhn,svhn_transfer,remove,250,0.795,0.701,0.759,0.764,0.792,0.682,0.61,0.752,Acc_Ours - 0.795,0.759
svhn,svhn_transfer,remove,400,0.791,0.701,0.759,0.764,0.792,0.682,0.61,0.752,Acc_DeepSVDD - 0.792,0.759
svhn,vgg16_transfer,remove,-1,0.859,0.701,0.759,0.764,0.792,0.682,0.61,0.752,Acc_Ours - 0.859,0.759
svhn,vgg16_transfer,remove,100,0.871,0.701,0.759,0.764,0.792,0.682,0.61,0.752,Acc_Ours - 0.871,0.759
svhn,vgg16_transfer,remove,250,0.856,0.701,0.759,0.764,0.792,0.682,0.61,0.752,Acc_Ours - 0.856,0.759
svhn,vgg16_transfer,remove,400,0.869,0.701,0.759,0.764,0.792,0.682,0.61,0.752,Acc_Ours - 0.869,0.759
imagenet,vgg_16,remove,-1,0.961,0.947,0.939,0.684,0.896,0.867,0.867,0.922,Acc_Ours(AVG) - 0.961,
imagenet,vgg_16,remove,100,0.962,0.947,0.939,0.684,0.896,0.867,0.867,0.922,Acc_Ours(AVG) - 0.962,
imagenet,vgg_16,remove,250,0.958,0.947,0.939,0.684,0.896,0.867,0.867,0.922,Acc_Ours(AVG) - 0.958,
imagenet,vgg_16,remove,400,0.95,0.947,0.939,0.684,0.896,0.867,0.867,0.922,Acc_Ours(AVG) - 0.95,
,,,,,,,,,,,,,
,,,,,Note:,all run on 0.95 threshold for selforacle according to its perspective datasets value,,,,,,,
